Tipo de Documento,Referencia / Factura,Importe de factura,Descuento,Motivo del descuento,Pago Neto,Comentarios
Factura,PMP1262539,1690433.0,,,1690433.0,
Factura,PMP1261953,146560.0,,,146560.0,
Factura,PMP1262552,1710000.0,,,1710000.0,
Factura,PMP1262553,3187849.0,,,3187849.0,
Factura,PMP1262537,23361065.0,,,23361065.0,
Factura,PMP1261148,19149434.0,,,19149434.0,
Factura,PMP1261149,25407095.0,,,25407095.0,
Factura,PMP1261151,45056301.0,,,45056301.0,
Factura,PMP1261155,1190466.0,,,1190466.0,
Factura,PMP1259903,52582788.0,,,52582788.0,
Factura,PMP1262559,1834841.0,,,1834841.0,
Factura,PMP1259912,5520318.0,,,5520318.0,
Factura,PMP1260157,63170899.0,,,63170899.0,
Factura,PMP1260165,284564398.0,,,284564398.0,
Factura,PMP1260164,141698153.0,,,141698153.0,
Factura,PMP1260163,126055224.0,,,126055224.0,
Factura,PMP1260158,17484088.0,,,17484088.0,
Factura,PMP1260162,65776657.0,,,65776657.0,
Factura,PMP1261156,6557312.0,,,6557312.0,
Factura,PMP1261157,17904668.0,,,17904668.0,
Factura,PMP1261465,2427518.0,,,2427518.0,
Factura,PMP1261464,2290809.0,,,2290809.0,
Factura,PMP1262547,2214991.0,,,2214991.0,
Factura,PMP1261460,3726459.0,,,3726459.0,
Factura,PMP1261458,7252627.0,,,7252627.0,
Factura,PMP1261470,6533488.0,,,6533488.0,
Factura,PMP1261469,1513998.0,,,1513998.0,
Factura,PMP1261467,499995.0,,,499995.0,
Factura,PMP1261461,22070256.0,,,22070256.0,
Factura,PMP1261457,10848458.0,,,10848458.0,
Factura,PMP1261163,14629635.0,,,14629635.0,
Factura,PMP1261161,116195043.0,,,116195043.0,
Factura,PMP1261159,116599267.0,,,116599267.0,
Factura,PMP1261160,29675013.0,,,29675013.0,
Factura,PMP1261510,1246096.0,,,1246096.0,
Factura,PMP1260273,29329430.0,,,29329430.0,
Factura,PMP1261158,26126173.0,,,26126173.0,
Factura,PMP1261459,19991557.0,,,19991557.0,
Factura,PMP1262548,417500.0,,,417500.0,
Factura,PMP1261162,340000.0,,,340000.0,
Factura,PMP1260771,7513816.0,,,7513816.0,
Factura,PMP1261299,12871706.0,,,12871706.0,
Factura,PMP1261294,12932558.0,,,12932558.0,
Factura,PMP1261293,3446177.0,,,3446177.0,
Factura,PMP1261292,46414213.0,,,46414213.0,
Factura,PMP1261290,27782840.0,,,27782840.0,
Factura,PMP1261291,1098150.0,,,1098150.0,
Factura,PMP1261289,493560.0,,,493560.0,
Factura,PMP1261286,389931.0,,,389931.0,
Factura,PMP1261298,1152486.0,,,1152486.0,
Factura,PMP1261297,5370275.0,,,5370275.0,
Factura,PMP1262549,11193449.0,,,11193449.0,
Factura,PMP1261295,32998429.0,,,32998429.0,
Factura,PMP1259346,2946820.0,,,2946820.0,
Factura,PMP1259907,48666676.0,,,48666676.0,
Factura,PMP1258554,19068875.0,,,19068875.0,
Factura,PMP1258556,3026228.0,,,3026228.0,
Factura,PMP1260712,173693580.0,,,173693580.0,
Factura,PMP1260707,35979153.0,,,35979153.0,
Factura,PMP1260161,93442901.0,,,93442901.0,
Factura,PMP1260706,223168238.0,,,223168238.0,
Factura,PMP1260533,34291730.0,,,34291730.0,
Factura,PMP1260535,57509346.0,,,57509346.0,
Factura,PMP1260536,52750912.0,,,52750912.0,
Factura,PMP1260537,6120990.0,,,6120990.0,
Factura,PMP1259579,1072234.0,,,1072234.0,
Factura,PMP1259919,18873250.0,,,18873250.0,
Factura,PMP1259921,142941044.0,,,142941044.0,
Factura,PMP1259914,14230225.0,,,14230225.0,
Factura,PMP1258551,8050343.0,,,8050343.0,
Factura,PMP1259911,24076632.0,,,24076632.0,
Factura,PMP1261296,1820217.0,,,1820217.0,
Factura,PMP1260766,15316522.0,,,15316522.0,
Factura,PMP1260538,24637420.0,,,24637420.0,
Factura,PMP1261050,14528785.0,,,14528785.0,
Factura,PMP1261049,26144224.0,,,26144224.0,
Factura,PMP1259905,50633875.0,,,50633875.0,
Factura,PMP1259580,2181139.0,,,2181139.0,
Factura,PMP1260765,57121264.0,,,57121264.0,
Costo de Transferen,,-3000.0,,,-3000.0, 
DESCUENTO APERTURA,,-13150135.0,,,-13150135.0, 
DESCUENTO APERTURA,,-9442209.0,,,-9442209.0, 
DESCUENTO CALENDARI,,-158686933.0,,,-158686933.0, 
DESCUENTO CALENDARI,,-24081738.0,,,-24081738.0, 
DESCUENTO CALENDARI,,-1010672959.0,,,-1010672959.0, 
DESCUENTO CALENDARI,,-84288581.0,,,-84288581.0, 
DESCUENTO CALENDARI,,-17511394.0,,,-17511394.0, 
DESCUENTO CALENDARI,,-10323018.0,,,-10323018.0, 
DESCUENTO CALENDARI,,-6552730.0,,,-6552730.0, 
DESCUENTO CALENDARI,,-3080380.0,,,-3080380.0, 
DESCUENTO CALENDARI,,-356607695.0,,,-356607695.0, 
DESCUENTO CALENDARI,,-438106890.0,,,-438106890.0, 
DESCUENTO COMPRAS,,-466262.0,,,-466262.0, 
DSTO COMERCIAL FIJO,,-506034.0,,,-506034.0, 
DSTO COMERCIAL FIJO,,-1547325.0,,,-1547325.0, 
