R5504575
Fecha de pago:;26/09/2025
Forma de pago:;CTA;********2566
Cía;Cliente;Tipo Doc;Num Doc;Num Factura;Valor;Fecha Doc
'00001;UNILEVER ANDINA ECUADOR S.A.;V1;3308522;'005002000657472;15.78;12/06/2025
'00001;UNILEVER ANDINA ECUADOR S.A.;V1;3308523;'007003000834439;261.95;12/06/2025
'00001;UNILEVER ANDINA ECUADOR S.A.;V1;3308523;'007003000834439;-.03;12/06/2025
'00001;UNILEVER ANDINA ECUADOR S.A.;V1;3308524;'007003000834447;68.95;12/06/2025
'00001;UNILEVER ANDINA ECUADOR S.A.;V1;3308524;'007003000834447;.01;12/06/2025
'00001;UNILEVER ANDINA ECUADOR S.A.;V1;3308525;'007003000834462;-.02;12/06/2025
'00001;UNILEVER ANDINA ECUADOR S.A.;V1;3308525;'007003000834462;120.14;12/06/2025
'00001;UNILEVER ANDINA ECUADOR S.A.;V1;3308526;'007003000834466;97.16;12/06/2025
'00001;UNILEVER ANDINA ECUADOR S.A.;V1;3308526;'007003000834466;-.01;12/06/2025
'00001;UNILEVER ANDINA ECUADOR S.A.;V1;3308527;'007003000834487;179.86;12/06/2025
'00001;UNILEVER ANDINA ECUADOR S.A.;V1;3308528;'007003000834489;69.51;12/06/2025
'00001;UNILEVER ANDINA ECUADOR S.A.;V1;3309079;'005002000657434;26.87;12/06/2025
'00001;UNILEVER ANDINA ECUADOR S.A.;V1;3309080;'005002000657435;26.87;12/06/2025
'00001;UNILEVER ANDINA ECUADOR S.A.;V1;3309380;'005002000657502;117.68;13/06/2025
'00001;UNILEVER ANDINA ECUADOR S.A.;V1;3309380;'005002000657502;-.01;13/06/2025
'00001;UNILEVER ANDINA ECUADOR S.A.;V1;3309381;'005002000657506;26.87;13/06/2025
'00001;UNILEVER ANDINA ECUADOR S.A.;V1;3309382;'005002000657510;26.87;13/06/2025
'00001;UNILEVER ANDINA ECUADOR S.A.;V1;3309383;'005002000657512;107.90;13/06/2025
'00001;UNILEVER ANDINA ECUADOR S.A.;V1;3309383;'005002000657512;-.02;13/06/2025
'00001;UNILEVER ANDINA ECUADOR S.A.;V1;3309384;'005002000657520;26.87;13/06/2025
'00001;UNILEVER ANDINA ECUADOR S.A.;V1;3309385;'005002000657522;33.26;13/06/2025
'00001;UNILEVER ANDINA ECUADOR S.A.;V1;3309386;'005002000657524;60.42;13/06/2025
'00001;UNILEVER ANDINA ECUADOR S.A.;V1;3309386;'005002000657524;-.01;13/06/2025
'00001;UNILEVER ANDINA ECUADOR S.A.;V1;3309387;'005002000657569;26.87;13/06/2025
'00001;UNILEVER ANDINA ECUADOR S.A.;V1;3309388;'005002000657595;26.87;13/06/2025
'00001;UNILEVER ANDINA ECUADOR S.A.;V1;3309389;'005002000657597;26.87;13/06/2025
'00001;UNILEVER ANDINA ECUADOR S.A.;V1;3309390;'005002000657599;64.84;13/06/2025
